twitter14,IRS14,IRS14exempt
20,372,551
20,1530,3469
20,866,1480
20,244,419
20,194,292
20,194,358
20,118,174
20,262,433
20,531,929
20,720,1462
20,2862,5357
20,578,1124
20,351,573
20,287,435
20,922,2063
20,360,564
20,130,178
20,108,180
20,637,1172
20,25,29
20,781,1668
19,353,590
19,722,1401
19,209,417
19,129,242
19,111,144
19,855,1544
19,757,1086
19,411,722
19,562,1176
19,538,1299
19,1705,3239
19,138,206
19,236,534
19,252,298
19,96,186
19,209,329
19,985,1638
19,847,1389
19,41,56
19,450,734
19,320,500
19,262,442
19,823,1213
19,251,545
19,122,185
19,393,749
19,578,987
19,1332,2788
19,291,362
19,2087,4590
19,688,1261
19,730,1285
19,679,1264
19,2466,4609
19,666,1245
19,948,1918
19,1232,2424
19,260,379
19,115,145
19,220,348
19,399,633
19,85,126
19,220,298
19,51,78
19,814,1453
19,1271,2348
19,299,521
19,157,196
19,252,444
19,1120,2463
19,590,832
19,550,1099
19,1805,3579
19,324,561
19,679,1120
19,227,303
19,278,518
19,307,492
19,485,784
19,629,1210
19,720,1309
19,635,1240
19,272,509
19,149,240
19,1249,2120
19,67,85
19,692,1541
19,642,989
19,197,252
19,378,638
19,329,464
19,438,978
19,94,137
19,145,245
19,522,1022
19,1113,2235
19,167,232
19,182,292
19,628,1137
19,25,30
19,765,1382
19,244,483
19,337,454
18,702,1350
18,961,1938
18,163,318
18,591,1290
18,797,1387
18,238,350
18,77,88
18,1136,2365
18,661,1114
18,68,113
18,342,511
18,308,498
18,62,87
18,205,333
18,119,158
18,112,190
18,83,133
18,734,1266
18,330,581
18,888,1750
18,83,134
18,555,1172
18,575,1274
18,796,1380
18,591,1215
18,355,613
18,440,732
18,290,487
18,442,991
18,269,556
18,1481,2986
18,282,433
18,199,320
18,489,877
18,436,760
18,333,677
18,140,194
18,403,708
18,386,750
18,1031,1673
18,143,201
18,1135,1833
18,157,223
18,600,1062
18,112,170
18,641,1277
18,245,378
18,156,182
18,355,559
18,615,1102
18,912,1879
18,1135,2195
18,527,883
18,176,268
18,22,37
18,719,1267
18,178,256
18,355,733
18,309,545
18,711,1181
18,1438,2865
18,144,172
18,158,224
18,815,1426
18,378,643
18,64,84
18,1233,3045
18,1386,2836
18,871,1752
18,492,944
18,262,340
18,507,933
18,129,210
18,422,820
18,111,187
18,766,1371
18,168,268
18,430,916
18,138,161
18,221,393
18,614,939
18,540,1049
18,218,360
18,216,345
18,1294,2725
18,1076,2006
18,410,883
18,123,188
18,640,1203
18,1577,3300
17,342,520
17,698,1305
17,110,154
17,558,839
17,1358,2864
17,555,1273
17,154,207
17,251,483
17,112,188
17,646,1302
17,874,1798
17,125,183
17,98,123
17,166,275
17,539,772
17,395,791
17,231,378
17,287,411
17,122,211
17,389,747
17,85,105
17,1116,2054
17,38,51
17,901,1807
17,24,34
17,380,688
17,117,194
17,384,575
17,36,44
17,273,421
17,42,59
17,60,96
17,34,46
17,469,829
17,789,1713
17,459,1130
17,233,461
17,685,1277
17,1699,3442
17,476,847
17,0,0
17,2076,3791
17,677,1245
17,205,367
17,193,264
17,388,687
17,131,188
17,207,312
17,348,548
17,616,1215
17,267,328
17,119,144
17,587,1043
17,596,1385
17,389,669
17,431,817
17,649,1321
17,570,1011
17,488,763
17,194,258
17,481,817
17,224,320
17,703,1513
17,160,307
17,134,208
17,942,1913
17,224,339
17,0,0
17,534,1102
17,128,160
17,910,1904
17,630,1180
17,44,54
17,71,120
17,103,140
17,20,36
17,95,142
17,38,69
17,1037,2031
17,331,528
17,768,1292
17,292,436
17,480,778
17,266,435
17,517,1084
17,0,0
17,391,764
17,154,201
17,469,841
17,135,199
17,699,1263
17,448,786
17,142,178
16,537,1134
16,257,397
16,440,1049
16,460,738
16,1055,2214
16,237,442
16,355,567
16,810,2140
16,194,337
16,477,731
16,112,158
16,345,649
16,909,2018
16,55,94
16,254,443
16,280,513
16,733,1378
16,338,610
16,102,160
16,153,247
16,468,771
16,322,607
16,478,1168
16,308,680
16,186,284
16,543,1029
16,100,142
16,641,1194
16,489,954
16,349,655
16,734,1213
16,430,689
16,776,1326
16,201,345
16,908,1712
16,184,242
16,397,690
16,238,405
16,348,619
16,278,506
16,233,378
16,136,210
16,202,285
16,973,2005
16,427,703
16,115,190
16,186,309
16,275,406
16,751,1300
16,183,296
16,1727,3187
16,670,1224
16,191,282
16,513,841
16,269,440
16,296,479
16,43,79
16,726,1135
16,78,91
16,644,1087
16,146,204
16,197,279
16,168,273
16,259,459
16,167,240
16,0,0
16,897,1685
16,331,530
16,1664,2956
16,340,656
16,329,505
16,84,118
16,1166,2201
16,110,156
16,427,691
16,160,327
16,546,952
16,381,613
16,159,287
